Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;12052;Cottbus, Stadt;98.890;18.690;3.440;12.020;1.990;35.630;42.580;;3,5;12,2;;15,6
40;12053;Frankfurt (Oder), Stadt;58.600;10.010;2.550;5.540;1.060;28.860;18.660;;4,4;9,5;;13,8
40;12054;Potsdam, Stadt;154.740;39.790;7.210;26.260;3.910;58.580;52.460;;4,7;17,0;;21,6
40;12060;Barnim;170.800;32.860;4.970;23.490;2.300;58.200;77.440;;2,9;13,8;;16,7
40;12061;Dahme-Spreewald;159.210;43.060;5.240;32.400;2.750;44.120;69.280;;3,3;20,4;;23,6
40;12062;Elbe-Elster;109.730;37.050;3.930;31.410;1.990;23.720;46.960;;3,6;28,6;;32,2
40;12063;Havelland;151.750;44.580;7.470;29.570;2.130;52.290;52.750;;4,9;19,5;;24,4
40;12064;Märkisch-Oderland;186.330;34.830;4.860;25.270;2.080;69.570;79.860;;2,6;13,6;;16,2
40;12065;Oberhavel;200.010;53.000;8.700;35.730;2.990;63.770;80.250;;4,3;17,9;;22,2
40;12066;Oberspreewald-Lausitz;117.300;27.100;3.580;21.220;850;37.310;52.040;;3,1;18,1;;21,1
40;12067;Oder-Spree;176.800;36.250;4.800;26.560;2.810;65.000;72.730;;2,7;15,0;;17,7
40;12068;Ostprignitz-Ruppin;99.100;30.330;2.290;25.330;1.050;29.560;38.170;;2,3;25,6;;27,9
40;12069;Potsdam-Mittelmark;201.680;63.600;9.420;45.830;2.470;55.050;80.560;;4,7;22,7;;27,4
40;12070;Prignitz;79.870;23.090;1.960;19.200;650;24.840;31.290;;2,5;24,0;;26,5
40;12071;Spree-Neiße;121.730;32.920;3.980;25.890;1.340;36.410;51.070;;3,3;21,3;;24,5
40;12072;Teltow-Fläming;158.250;43.500;5.800;31.250;2.200;53.760;58.790;;3,7;19,7;;23,4
40;12073;Uckermark;123.750;29.840;3.630;23.310;1.130;35.900;56.870;;2,9;18,8;;21,8
10;13;Gesamt;1.585.740;376.090;54.080;281.170;16.670;512.470;680.510;;;;;
40;13001;Greifswald;54.740;12.840;1.980;8.970;900;18.800;22.200;;3,6;16,4;;20,0
40;13002;Neubrandenburg;63.020;9.880;2.290;6.220;700;20.140;32.300;;3,6;9,9;;13,5
40;13003;Rostock;197.400;36.980;7.050;22.330;3.860;79.630;76.920;;3,6;11,3;;14,9
40;13004;Schwerin;89.810;18.300;3.350;11.360;1.800;36.890;32.820;;3,7;12,6;;16,4
40;13005;Stralsund;55.530;10.980;1.580;7.570;610;19.830;24.110;;2,8;13,6;;16,5
40;13006;Wismar;41.640;6.750;1.170;4.410;560;13.710;20.630;;2,8;10,6;;13,4
